ID,REPL,TIME,EVID,DV,RIF,INH,EMB,PZA,SM,PAS,EXPR,PH,THRP,LOQ,AGR,NDV,EVIDLQ,NATG,IDEXPR,PLOT
101,1,1,0,12.70,.,.,.,.,.,.,7,7,2,0,0,328732.6219,0,0,8,25
101,1,2,0,12.40,.,.,.,.,.,.,7,7,2,0,0,242801.6175,0,0,8,25
101,1,3,0,12.18,.,.,.,.,.,.,7,7,2,0,0,195242.9579,0,0,8,25
101,1,6,0,11.78,.,.,.,.,.,.,7,7,2,0,0,129962.3406,0,0,8,25
777,1,0,2,13.19,2,10,0,0,0,0,7,7,2,0,0,532852.5376,0,0,8,777
777,1,1,2,7.73,.,.,.,.,.,.,7,7,2,0,0,2272.64584,0,0,8,777
777,1,2,2,5.29,.,.,.,.,.,.,7,7,2,0,0,198.0857465,0,0,8,777
777,1,3,2,3.10,.,.,.,.,.,.,7,7,2,0,0,22.13367047,0,0,8,777
777,1,6,2,-3.16,.,.,.,.,.,.,7,7,2,0,0,0.042604304,0,0,8,777
102,1,0,0,13.19,0.125,0.01,0,0,0,0,7,7,2,0,0,532852.5376,0,0,9,26
102,1,1,0,11.41,.,.,.,.,.,.,7,7,2,0,0,90039.16308,0,0,9,26
102,1,2,0,9.68,.,.,.,.,.,.,7,7,2,0,0,16073.06229,0,0,9,26
102,1,3,0,8.00,.,.,.,.,.,.,7,7,2,0,0,2972.920256,0,0,9,26
102,1,6,0,3.26,.,.,.,.,.,.,7,7,2,0,0,25.94295269,0,0,9,26
103,1,0,0,13.19,8,0.01,0,0,0,0,7,7,2,0,0,532852.5376,0,0,10,27
103,1,1,0,10.88,.,.,.,.,.,.,7,7,2,0,0,52838.74461,0,0,10,27
103,1,2,0,8.70,.,.,.,.,.,.,7,7,2,0,0,5995.113502,0,0,10,27
103,1,3,0,6.60,.,.,.,.,.,.,7,7,2,0,0,732.6001096,0,0,10,27
103,1,6,0,0.48,.,.,.,.,.,.,7,7,2,0,0,1.611926423,0,0,10,27
